Interval,Processor0,Processor1,Processor2,Processor3,Processor4,Processor5,Processor6,Processor7,Processor8,Processor9,Processor10,Processor11,Processor12,Processor13,Processor14,Processor15,Processor16,Processor17,Processor18,Processor19,Processor20,Processor21,Processor22,Processor23,Processor24,Processor25,Processor26,Processor27,Processor28,Processor29,Processor30,Processor31,Processor32,Processor33,Processor34,Processor35,Max,Mean,SD,CV
313,85038.0,113009.0,83836.0,120453.0,88570.0,82606.0,76733.0,81408.0,82462.0,83979.0,84194.0,86704.0,82169.0,80324.0,83549.0,95419.0,76591.0,82451.0,107884.0,101339.0,96384.0,86653.0,89748.0,78592.0,76911.0,97633.0,75294.0,82192.0,86018.0,93793.0,73555.0,109479.0,97419.0,86986.0,80658.0,83564.0,120453.0,88155.47222222222,10947.063577574152,0.12417905890151443
314,99980.0,102670.0,80047.0,120125.0,86586.0,87065.0,77234.0,82484.0,92192.0,87523.0,85533.0,88797.0,82849.0,83272.0,83957.0,92143.0,80763.0,83649.0,109016.0,97816.0,91134.0,89828.0,87304.0,78923.0,84094.0,93916.0,79951.0,84683.0,82599.0,90576.0,73493.0,109355.0,94137.0,84659.0,82931.0,80203.0,120125.0,88652.41666666667,9666.410989075637,0.1090371966442987
315,113388.0,94651.0,88074.0,116154.0,88771.0,90953.0,80622.0,88440.0,104977.0,92040.0,89528.0,91736.0,88452.0,83773.0,88222.0,93494.0,86131.0,83252.0,106927.0,94770.0,85965.0,101205.0,86636.0,80914.0,84504.0,92154.0,80249.0,94277.0,83537.0,91670.0,84438.0,104179.0,92674.0,85960.0,86556.0,91392.0,116154.0,91407.36111111111,8553.155379912849,0.09357184449856262
316,128180.0,89697.0,80265.0,105328.0,87986.0,87491.0,79492.0,81036.0,114788.0,84972.0,85155.0,92455.0,82615.0,82547.0,90100.0,85186.0,81131.0,80659.0,105830.0,88414.0,83310.0,111404.0,92996.0,76502.0,79073.0,93665.0,80410.0,105571.0,77834.0,91864.0,80781.0,103210.0,88033.0,81578.0,84043.0,80747.0,128180.0,89565.22222222222,11751.539183138502,0.13120649836586687
317,131668.0,82919.0,81688.0,96758.0,84888.0,84754.0,75585.0,86903.0,122245.0,83648.0,82247.0,97876.0,80222.0,72907.0,92754.0,82218.0,86635.0,84366.0,98901.0,80779.0,77113.0,114550.0,87444.0,78825.0,85554.0,98847.0,74887.0,113063.0,85963.0,83095.0,76406.0,110049.0,82488.0,78453.0,82394.0,86134.0,131668.0,89034.05555555556,13617.666236148389,0.1529489603857394
318,124747.0,85224.0,81084.0,88107.0,82392.0,83884.0,75431.0,81759.0,119485.0,83616.0,88010.0,105229.0,78487.0,79346.0,94179.0,85007.0,79478.0,84642.0,93192.0,79751.0,74147.0,108149.0,91008.0,77216.0,84884.0,102101.0,74931.0,116889.0,87815.0,76344.0,81104.0,107929.0,80656.0,83291.0,81653.0,84042.0,124747.0,88478.02777777778,12900.910668730396,0.14580920249638069
319,110508.0,80482.0,81016.0,83238.0,82545.0,82398.0,76799.0,87469.0,113098.0,83304.0,88063.0,114221.0,81134.0,78729.0,95079.0,81337.0,81226.0,84927.0,83184.0,73800.0,73302.0,99448.0,98692.0,77267.0,86818.0,98627.0,74815.0,114021.0,94488.0,82051.0,78583.0,99676.0,83912.0,83386.0,83780.0,82029.0,114221.0,87595.88888888889,11302.269855057577,0.1290274006967833
320,101036.0,76666.0,76871.0,80845.0,78692.0,78565.0,77723.0,97733.0,99849.0,84277.0,89529.0,115909.0,76590.0,81286.0,99804.0,77266.0,82574.0,87645.0,77441.0,86282.0,80024.0,99413.0,89843.0,76853.0,90012.0,86426.0,78700.0,111782.0,97150.0,86026.0,74128.0,101042.0,77567.0,84663.0,77298.0,85029.0,115909.0,86737.19444444444,10507.92825235478,0.12114673894698261
321,97333.0,72628.0,73130.0,74826.0,74618.0,75388.0,78357.0,102819.0,91672.0,84579.0,91061.0,117309.0,71876.0,80419.0,96939.0,72099.0,83077.0,86808.0,71041.0,85478.0,82517.0,101338.0,90924.0,77023.0,84887.0,90237.0,81776.0,108074.0,101300.0,93809.0,83668.0,97582.0,71966.0,90166.0,72303.0,89465.0,117309.0,86069.22222222222,11453.952098417363,0.1330783734613564
322,90883.0,70642.0,72402.0,72431.0,72897.0,73420.0,70448.0,109057.0,80819.0,84137.0,94592.0,113469.0,71270.0,77680.0,98765.0,70938.0,82372.0,89290.0,78695.0,86750.0,83008.0,99014.0,94130.0,78486.0,69723.0,93589.0,74930.0,106701.0,105627.0,96778.0,81840.0,98430.0,79382.0,90485.0,70211.0,90900.0,113469.0,85394.19444444444,12378.801761298413,0.1449606948321503
