Interval,Processor0,Processor1,Processor2,Processor3,Processor4,Processor5,Processor6,Processor7,Processor8,Processor9,Processor10,Processor11,Processor12,Processor13,Processor14,Processor15,Processor16,Processor17,Processor18,Processor19,Processor20,Processor21,Processor22,Processor23,Processor24,Processor25,Processor26,Processor27,Processor28,Processor29,Processor30,Processor31,Processor32,Processor33,Processor34,Processor35,Total,Max
353,48,140,90,188,8,48,110,92,10,44,40,200,10,40,92,110,168,178,90,140,178,188,130,40,48,120,8,130,120,168,44,48,40,68,200,68,3444,200
354,4,144,86,154,40,66,126,52,52,52,6,222,24,60,86,126,154,178,52,138,178,168,140,24,44,138,6,140,144,168,66,44,4,40,222,60,3408,222
355,14,148,78,92,68,40,92,120,104,28,40,228,34,66,68,138,158,162,34,120,162,174,138,2,38,104,2,148,174,158,78,28,38,14,228,66,3384,228
356,20,134,58,40,40,96,78,72,152,36,78,224,24,72,64,138,166,152,10,96,128,176,128,20,64,138,36,176,166,134,84,24,58,10,224,84,3400,224
357,4,140,72,10,86,62,76,90,184,4,108,208,28,72,56,140,154,208,10,86,104,188,108,28,56,108,62,188,154,108,90,20,76,20,184,104,3396,208
358,2,140,70,98,62,52,84,78,200,2,156,196,10,70,62,132,196,190,10,78,88,156,132,52,18,78,80,190,140,78,98,18,84,88,200,80,3468,200
359,6,200,62,110,74,62,90,4,202,4,180,200,28,62,36,122,130,180,28,62,74,182,122,34,34,36,100,182,130,52,110,6,90,100,202,52,3348,202
360,48,154,98,186,62,46,96,38,176,6,202,186,46,62,34,98,74,130,54,48,54,176,128,74,34,4,128,154,104,6,130,4,96,104,202,38,3280,202
361,30,144,82,196,30,52,82,76,172,30,210,196,64,52,16,82,76,158,64,30,48,172,124,28,16,52,144,158,82,48,124,28,102,102,210,52,3332,210
362,20,134,66,142,56,52,184,126,142,52,212,184,82,50,4,66,48,126,82,26,4,162,124,56,20,76,162,134,48,76,124,26,106,106,212,50,3340,212
363,16,122,118,128,42,46,80,158,118,80,216,186,100,46,2,46,16,158,186,16,2,164,108,42,42,108,164,122,16,100,128,42,108,108,216,46,3396,216
364,16,116,112,126,60,64,178,190,112,116,204,178,118,32,4,34,16,164,100,10,4,204,118,64,60,126,164,100,10,102,126,32,102,126,190,34,3512,204
365,2,196,86,134,72,94,38,202,94,158,196,184,134,38,2,14,36,158,124,6,14,158,184,72,86,132,158,72,72,102,124,6,102,132,202,36,3620,202
366,4,144,162,138,84,80,18,202,80,186,198,162,148,26,26,18,50,148,198,6,50,186,92,84,124,138,144,56,56,120,120,6,92,124,202,4,3676,202
367,8,150,78,146,44,8,56,178,70,210,202,158,150,4,12,56,60,132,144,70,60,178,98,98,146,144,132,44,158,114,114,4,78,202,210,12,3728,210
368,48,138,70,156,46,42,110,160,48,214,200,146,156,10,62,92,62,102,168,42,146,160,16,112,168,138,102,46,112,200,92,10,70,110,214,16,3784,214
369,56,156,130,180,72,92,156,138,28,210,168,130,150,14,28,168,54,28,138,84,54,112,4,150,180,112,56,4,92,150,72,14,84,150,210,28,3652,210
370,40,150,52,182,54,150,210,116,2,182,174,124,146,34,68,116,52,24,184,86,124,54,68,168,184,86,34,2,174,168,54,24,40,146,210,54,3736,210
371,40,180,2,170,46,184,224,100,16,188,164,112,142,40,68,112,40,6,184,164,100,24,96,180,170,46,2,6,96,188,24,40,16,142,224,68,3604,224
372,44,180,50,148,32,220,200,74,26,192,156,96,124,96,156,74,20,32,200,86,50,26,136,180,148,12,20,4,124,136,12,44,4,192,220,86,3600,220
373,58,172,108,152,14,222,182,56,74,164,142,74,114,68,114,2,4,58,182,164,42,68,152,172,102,142,56,2,102,108,4,42,14,116,222,116,3584,222
374,52,154,144,160,52,210,172,44,46,162,132,58,112,80,112,16,58,80,144,132,2,106,154,160,46,162,42,2,106,172,44,42,16,128,210,128,3640,210
375,116,150,184,138,96,176,150,28,38,148,116,60,94,92,148,38,40,92,176,94,28,136,150,144,6,96,60,28,150,144,28,40,6,136,184,138,3648,184
376,94,134,198,140,140,174,124,24,50,146,114,46,94,146,124,50,114,106,142,32,52,142,134,120,30,120,52,24,106,146,46,30,32,174,198,146,3744,198
377,102,64,202,148,164,162,98,4,86,130,102,42,86,92,130,64,84,108,162,4,84,146,122,92,98,122,58,12,108,164,42,12,58,146,202,148,3648,202
378,88,2,178,120,198,134,64,2,46,114,94,56,86,86,64,64,86,86,64,32,120,134,98,46,134,134,114,56,98,178,94,32,88,158,198,158,3504,198
379,72,54,166,80,202,144,70,26,82,116,82,26,74,104,74,80,144,88,54,72,134,120,60,32,88,134,60,32,120,166,70,116,104,150,202,150,3548,202
380,76,100,148,14,194,120,28,28,96,96,74,46,62,122,62,86,108,76,46,108,146,108,20,14,86,148,120,20,108,146,74,100,122,138,194,138,3372,194
381,70,142,130,40,174,120,12,20,40,92,60,58,44,116,60,96,96,70,20,144,142,84,58,12,84,142,120,44,130,174,92,144,134,142,134,116,3356,174
382,76,172,96,92,168,124,8,32,80,80,48,60,32,140,48,100,100,60,76,162,146,50,124,8,96,146,96,60,92,172,50,162,140,168,60,96,3420,172
383,40,188,78,136,152,122,24,66,14,68,44,66,24,140,4,108,122,40,116,168,146,14,108,44,116,146,78,68,152,188,78,136,140,168,4,78,3384,188
384,22,188,68,168,138,112,48,48,2,80,48,106,6,128,2,114,112,32,158,164,128,68,114,22,138,158,106,32,134,168,80,188,134,164,6,48,3432,188
385,72,182,20,190,134,100,66,38,72,66,28,118,28,118,38,116,100,8,170,156,118,72,116,28,134,156,118,20,126,182,72,190,126,170,28,8,3484,190
386,124,166,6,194,104,68,40,68,116,42,42,130,42,110,54,110,46,42,176,142,98,142,120,54,116,124,130,46,98,176,104,194,120,166,40,6,3556,194
387,170,134,22,180,60,32,38,54,160,22,54,128,32,128,74,88,60,44,172,120,44,172,120,82,104,160,88,110,134,180,74,170,104,110,38,82,3544,180
388,204,96,4,164,72,76,46,42,192,42,60,174,60,94,94,64,18,96,158,88,4,192,158,72,88,164,94,146,76,146,64,204,94,174,46,18,3584,204
389,216,70,16,140,54,66,70,18,208,10,108,178,54,140,116,58,10,76,148,36,66,208,178,36,116,166,108,166,16,148,42,216,76,58,42,18,3452,216
390,204,6,30,114,30,52,64,56,202,36,120,178,52,108,132,6,36,132,108,28,50,204,178,36,78,180,120,180,78,114,56,202,50,36,28,64,3348,204
391,180,12,32,90,12,56,90,92,164,32,130,206,24,92,140,12,50,164,66,130,66,188,140,56,102,180,76,188,102,2,50,206,12,24,2,76,3244,206
392,176,28,12,54,14,28,50,110,134,56,150,214,54,128,128,14,52,134,12,110,60,214,126,56,150,176,82,184,126,60,52,184,2,50,2,82,3264,214
393,144,10,10,36,34,42,54,158,80,68,144,208,36,80,134,2,54,146,68,86,144,208,134,42,66,158,144,180,146,86,82,180,34,66,2,82,3348,208
394,118,18,18,12,28,40,36,186,36,76,166,194,28,98,130,2,54,146,84,100,166,194,130,40,2,168,118,168,146,100,76,186,54,84,12,98,3312,194
395,106,18,14,14,18,36,6,200,18,88,162,176,18,106,122,6,40,102,122,114,162,200,150,36,26,162,88,150,162,114,40,176,82,82,26,102,3244,200
396,82,20,32,32,2,42,28,194,42,90,166,148,20,82,104,2,32,32,120,130,138,194,166,90,48,148,82,138,172,120,48,172,104,82,28,130,3260,194
397,70,48,28,70,4,48,56,178,70,104,178,116,4,56,92,28,20,22,178,128,120,178,116,20,70,136,92,136,174,128,22,174,90,90,104,120,3268,178
398,54,108,26,92,26,50,92,140,76,108,200,76,2,10,76,50,2,38,138,140,122,200,104,54,104,10,76,124,172,138,38,172,92,92,124,122,3248,200
399,38,58,30,92,38,50,138,100,124,124,204,58,6,6,52,46,30,58,124,138,122,204,166,52,124,46,50,118,166,148,58,148,100,92,118,122,3348,204
400,6,108,24,82,24,58,174,64,134,134,204,54,24,24,38,78,58,78,142,132,172,204,124,38,142,82,6,108,172,132,54,174,94,94,64,124,3424,204
401,6,104,50,106,50,72,194,36,146,160,194,26,26,38,6,90,72,104,152,110,118,194,160,36,152,110,52,104,146,106,38,194,104,90,52,118,3516,194
402,2,100,70,110,34,60,206,2,142,160,166,34,16,52,16,88,82,130,164,128,160,206,130,70,164,128,88,100,142,82,60,166,88,88,52,110,3596,206
403,4,60,110,138,28,72,192,20,110,168,134,28,20,60,72,104,126,138,168,168,134,146,114,86,168,146,114,86,126,58,4,192,84,84,58,104,3624,192
404,28,58,134,144,20,84,160,74,88,192,110,20,28,58,92,110,70,144,164,160,156,20,132,84,156,164,132,74,92,28,20,192,134,70,28,88,3508,192
405,6,26,164,120,48,88,120,46,84,208,84,22,22,60,88,66,64,130,172,150,164,46,142,60,142,172,150,36,48,6,26,208,130,66,36,64,3264,208
