Interval,Processor0,Processor1,Processor2,Processor3,Processor4,Processor5,Processor6,Processor7,Processor8,Processor9,Processor10,Processor11,Processor12,Processor13,Processor14,Processor15,Processor16,Processor17,Processor18,Processor19,Processor20,Processor21,Processor22,Processor23,Processor24,Processor25,Processor26,Processor27,Processor28,Processor29,Processor30,Processor31,Processor32,Processor33,Processor34,Processor35,Total,Max
0,78,162,72,144,90,48,122,16,162,40,196,174,78,66,48,90,40,66,4,40,16,102,122,72,40,6,122,144,98,4,122,6,102,98,196,174,3160,196
1,82,180,82,120,78,36,102,70,160,34,204,180,82,42,26,82,34,150,2,38,2,160,136,36,38,60,136,150,78,26,120,42,102,60,204,70,3204,204
2,84,184,70,106,118,8,138,112,138,64,204,184,96,36,26,70,30,144,26,30,36,154,112,48,8,84,154,144,48,48,118,48,106,64,204,96,3340,204
3,108,128,54,112,116,12,108,152,128,86,204,184,108,30,6,54,6,160,24,12,58,152,124,58,40,112,160,124,24,40,116,30,108,184,204,86,3412,204
4,98,180,60,130,110,4,124,190,120,128,194,180,124,18,12,34,30,128,34,4,30,194,150,80,60,130,150,98,12,80,114,18,110,114,190,120,3552,194
5,114,178,78,142,134,16,86,204,108,162,184,178,134,10,2,24,48,152,24,10,48,162,184,86,82,142,152,78,16,108,114,2,110,110,204,82,3668,204
6,114,174,102,150,134,22,16,192,90,198,184,174,152,2,2,20,56,152,60,22,56,192,184,102,114,150,134,60,16,110,110,20,108,108,198,90,3768,198
7,104,166,116,154,150,30,52,180,62,208,190,166,154,2,22,62,62,146,118,62,52,180,44,116,146,150,118,44,30,190,104,22,104,104,208,2,3820,208
8,188,100,158,156,146,60,96,150,40,208,188,158,156,40,32,98,64,60,150,46,94,174,8,132,174,146,98,46,64,96,94,32,100,132,208,8,3900,208
9,144,132,126,178,142,102,142,132,20,206,180,140,154,26,10,180,54,16,140,62,54,78,20,144,178,126,62,10,114,154,78,26,114,102,206,16,3768,206
10,140,182,76,156,174,156,200,120,28,174,182,132,140,44,56,132,56,10,178,66,88,42,76,170,178,106,28,10,120,170,66,44,88,106,200,42,3936,200
11,130,176,16,190,62,190,220,100,38,170,176,116,130,48,116,74,48,16,184,70,100,32,100,184,164,70,4,4,100,164,38,32,74,170,220,62,3788,220
12,172,80,50,200,48,220,200,68,68,172,174,108,124,108,50,36,14,52,182,174,52,36,128,182,140,6,44,14,124,140,6,48,44,128,220,80,3692,220
13,98,104,96,180,6,216,180,24,66,170,158,76,116,74,158,24,2,66,172,116,50,74,144,172,104,48,76,6,170,144,2,50,48,96,216,98,3600,216
14,106,164,136,136,50,204,166,6,50,164,148,62,110,110,148,10,34,94,156,94,62,106,136,156,56,56,44,10,136,166,6,44,34,114,204,114,3592,204
15,88,152,178,174,88,174,152,34,100,152,138,54,100,108,138,36,54,108,136,152,8,124,134,136,10,44,36,8,134,130,10,44,34,124,178,130,3600,178
16,108,148,194,142,126,164,128,40,100,148,126,40,100,116,126,48,60,116,126,58,58,134,126,108,26,128,48,6,164,126,6,26,60,134,194,142,3700,194
17,116,34,198,156,156,162,106,54,134,134,112,34,80,162,112,58,106,116,88,6,88,142,114,80,80,80,58,6,142,140,12,12,54,114,198,140,3584,198
18,112,20,176,132,190,154,62,16,86,120,100,68,72,100,20,62,62,112,46,16,110,132,86,46,120,154,102,62,134,176,72,68,102,110,190,134,3524,190
19,108,68,164,70,196,152,54,64,88,120,88,38,64,126,88,76,68,108,30,70,120,126,64,30,120,152,64,38,138,164,54,76,88,120,196,138,3528,196
20,104,112,144,8,190,138,8,80,112,112,80,40,54,144,54,80,138,90,6,104,130,114,24,6,90,114,80,40,132,112,24,130,114,114,190,132,3344,190
21,94,142,140,48,170,138,4,48,106,106,62,58,36,134,58,90,90,84,58,128,134,94,62,4,138,140,84,36,128,142,58,170,126,118,126,118,3472,170
22,102,172,114,98,156,132,4,58,68,92,50,74,24,144,24,102,132,68,94,144,136,58,94,4,98,98,114,50,136,156,74,172,134,134,92,98,3500,172
23,78,186,88,136,146,126,20,88,82,102,50,82,22,152,10,106,102,54,120,152,136,20,120,22,106,146,126,50,136,136,54,186,138,138,10,78,3504,186
24,2,190,70,168,136,124,46,112,10,94,48,112,2,168,30,120,94,42,146,150,126,42,146,48,136,126,124,30,144,150,70,190,144,120,10,46,3516,190
25,56,170,16,196,132,120,54,120,56,82,30,120,30,170,54,118,82,4,170,144,114,56,142,26,132,114,120,16,144,170,56,196,142,118,26,4,3500,196
26,102,152,8,200,98,80,52,98,106,48,38,150,48,152,66,112,80,38,178,134,92,134,136,36,106,112,150,52,102,178,66,200,136,92,36,8,3576,200
27,154,124,14,184,74,76,72,32,148,36,26,144,26,144,72,96,36,74,174,110,32,154,174,76,124,106,96,106,120,148,44,184,120,110,44,14,3468,184
28,198,96,2,152,68,82,64,64,190,42,64,170,2,152,104,64,8,96,168,78,8,190,140,68,170,108,104,140,48,168,82,198,108,78,48,42,3564,198
29,214,94,22,142,42,78,52,14,208,54,100,168,42,142,126,42,14,84,148,18,100,208,164,54,126,168,94,164,22,148,78,214,84,42,52,18,3540,214
30,210,36,30,120,22,70,120,30,200,54,120,168,36,168,138,6,44,138,120,34,66,200,176,54,80,120,120,176,80,44,70,210,66,22,34,6,3388,210
31,186,8,44,106,4,40,58,92,162,44,140,192,40,144,144,14,58,162,84,140,92,186,192,36,84,106,106,194,106,4,36,194,36,36,14,8,3292,194
32,164,8,48,48,2,34,62,126,118,56,156,210,34,126,142,22,62,128,22,118,156,210,164,56,68,142,64,198,128,68,48,198,8,64,2,48,3308,210
33,146,2,14,38,14,42,66,162,68,60,154,206,6,82,140,42,54,142,38,140,146,196,162,60,68,94,154,196,142,94,54,206,2,82,6,66,3344,206
34,120,2,4,26,12,38,50,192,32,72,158,194,4,158,130,72,50,96,120,148,112,192,180,38,12,130,82,180,148,112,32,194,26,96,2,82,3296,194
35,110,4,4,16,8,34,2,200,2,84,150,176,8,92,124,84,40,110,150,172,124,176,160,34,28,124,98,172,160,124,40,200,28,98,16,92,3244,200
36,78,12,26,30,34,42,30,190,90,82,158,146,34,78,90,42,36,26,160,138,158,178,146,36,52,104,116,160,178,138,82,190,52,104,12,116,3344,190
37,76,16,28,22,52,52,64,172,76,94,176,116,16,84,84,100,22,24,106,176,116,172,144,28,76,24,156,156,176,144,76,176,94,106,64,100,3364,176
38,54,30,30,44,100,46,98,134,154,100,200,72,6,46,74,98,6,44,106,162,108,158,134,54,108,26,108,154,162,158,26,200,72,106,74,108,3360,200
39,46,54,26,60,58,54,142,88,112,114,204,52,8,8,58,88,26,60,108,128,166,158,142,46,128,54,114,138,166,158,52,204,138,108,54,112,3432,204
40,8,36,16,124,48,66,178,48,86,124,206,44,8,22,36,160,22,78,126,142,108,178,140,44,142,86,16,132,160,140,66,206,78,108,132,126,3440,206
41,6,52,52,130,122,72,196,2,106,130,198,38,2,38,6,116,38,106,120,154,108,196,116,38,154,116,38,122,142,120,72,198,142,108,38,116,3508,198
42,12,74,60,70,130,74,202,30,110,160,174,30,30,52,12,104,112,130,160,164,130,174,134,30,164,134,70,112,130,86,60,202,86,104,52,110,3668,202
43,8,76,84,86,104,76,192,64,102,166,136,26,34,64,34,140,84,140,166,170,136,104,148,58,170,148,104,104,126,58,8,192,126,86,26,102,3648,192
44,26,38,116,116,92,82,156,70,108,200,108,8,38,70,98,128,76,142,158,166,142,8,156,82,158,166,128,92,98,26,12,200,76,76,12,76,3504,200
45,2,18,160,100,82,88,118,124,118,212,76,64,18,76,54,76,48,124,160,178,146,54,152,88,146,178,152,82,64,18,18,212,76,100,2,48,3432,212
46,26,12,198,126,64,118,70,70,136,222,56,42,44,64,56,112,118,136,170,198,164,112,64,48,126,170,164,64,42,44,58,222,58,48,12,26,3460,222
47,22,2,222,126,26,126,20,76,130,208,18,20,78,48,68,156,120,130,180,208,136,136,22,38,120,156,180,68,2,48,76,222,78,38,26,18,3348,222
48,32,44,214,108,24,152,44,92,146,184,24,20,88,30,30,182,72,108,154,184,152,154,72,2,96,146,182,44,2,96,92,214,88,20,32,44,3368,214
49,58,88,186,130,14,182,40,108,114,142,14,40,108,16,2,168,102,76,168,182,142,168,102,46,58,130,168,40,16,76,114,186,88,2,40,46,3360,186
50,32,120,142,100,2,208,42,120,148,100,4,38,122,4,30,142,122,62,130,178,128,178,130,80,38,110,148,32,30,110,128,208,80,2,42,62,3352,208
51,12,166,92,124,22,218,40,92,130,86,4,22,126,32,56,166,112,38,126,170,144,170,144,112,12,102,124,32,38,102,130,218,86,4,40,56,3348,218
52,10,186,58,112,60,216,74,128,146,74,2,26,128,40,68,158,134,2,28,186,130,146,158,130,10,78,112,26,78,60,134,216,68,40,28,58,3308,216
53,50,194,40,82,76,196,68,120,134,62,2,16,134,50,82,148,136,46,16,194,158,120,158,148,16,46,92,16,40,62,136,196,92,68,2,76,3272,196
54,56,196,10,78,96,156,114,134,150,28,2,28,114,36,78,100,50,24,50,152,156,96,150,152,10,24,78,36,2,56,134,196,96,100,78,96,3112,196
55,84,164,20,68,136,116,92,114,136,52,16,4,114,52,92,140,146,92,86,116,164,92,146,170,20,52,68,4,16,52,140,170,84,92,86,92,3288,170
56,102,138,2,52,166,84,102,112,130,46,12,2,112,74,98,114,166,108,114,2,140,74,130,174,30,30,52,2,12,46,140,174,84,108,138,98,3168,174
57,144,92,10,24,192,72,92,118,144,38,6,2,114,46,106,126,162,106,126,46,122,48,106,162,38,10,24,2,6,48,122,114,72,118,192,106,3056,192
58,174,56,20,28,200,56,104,110,154,34,2,6,104,56,110,120,174,134,134,72,78,6,78,154,56,4,20,4,2,28,106,34,72,120,200,106,2916,200
59,188,24,38,66,192,38,122,116,150,18,12,18,100,66,116,98,188,140,150,96,16,24,62,140,62,16,4,4,12,8,98,8,100,122,192,96,2900,192
60,202,26,36,96,164,36,128,122,158,14,16,14,96,82,122,26,164,124,158,124,50,96,14,124,50,28,14,16,26,28,82,26,96,128,202,124,3012,202
61,196,82,36,148,122,16,118,122,142,10,16,14,94,44,118,10,170,148,170,142,82,124,30,106,106,50,14,30,44,50,82,36,94,124,196,82,3168,196
62,166,102,46,192,90,2,114,120,158,2,46,42,84,18,120,18,166,158,158,158,110,110,42,102,84,76,56,46,56,92,76,46,92,114,192,90,3344,192
63,120,94,86,212,34,34,126,128,164,46,72,88,80,12,106,58,128,88,128,164,128,120,52,72,96,58,12,46,86,126,96,52,80,94,212,106,3404,212
64,76,104,100,220,8,26,102,132,160,8,58,148,56,26,102,80,160,168,132,168,160,148,76,58,80,46,58,100,104,160,58,46,56,86,220,86,3576,220
65,22,134,50,192,22,36,118,134,84,8,44,202,36,50,84,104,192,174,120,134,174,170,120,44,62,66,34,134,118,170,66,34,8,62,202,104,3508,202
66,16,138,86,158,42,24,126,144,20,16,8,222,16,72,74,118,168,172,86,126,172,158,118,8,76,74,20,138,144,168,76,24,16,42,222,72,3360,222
67,60,102,78,102,40,50,86,128,86,8,40,226,2,68,60,128,152,174,50,118,152,162,144,2,68,44,12,144,174,162,78,8,44,12,226,118,3308,226
68,62,134,86,42,82,34,74,124,138,8,78,224,10,70,62,134,168,138,34,86,124,176,136,8,70,42,14,176,168,136,82,14,74,10,224,78,3320,224
69,72,136,84,18,72,32,116,86,176,10,112,208,28,72,54,136,158,208,18,72,84,186,112,32,60,54,60,186,158,116,102,10,86,28,176,102,3420,208
70,62,130,60,70,78,6,96,88,196,16,156,198,44,70,54,130,198,184,6,60,62,156,140,34,54,16,78,184,140,88,108,34,96,44,196,108,3440,198
71,54,104,50,102,60,14,116,32,200,26,180,196,54,60,32,116,196,180,22,50,22,176,132,52,52,14,102,176,132,56,114,26,104,56,200,114,3372,200
72,36,138,72,194,64,36,128,36,176,8,202,194,70,64,36,98,70,112,18,2,2,176,152,72,36,36,138,152,106,18,128,8,112,98,202,106,3296,202
73,80,196,46,112,66,32,116,76,172,44,206,196,80,46,32,80,82,158,44,20,20,172,146,56,6,66,146,158,82,6,116,56,112,80,206,76,3388,206
74,84,110,30,118,66,12,194,118,148,62,206,194,96,42,30,66,60,148,62,12,52,166,148,60,18,84,166,148,52,18,112,42,110,96,206,112,3448,206
75,122,114,38,124,48,12,104,158,122,88,206,188,114,38,12,48,4,164,188,4,70,158,118,70,34,118,164,124,28,34,112,28,104,88,206,112,3464,206
76,56,124,30,124,80,4,104,192,112,124,196,186,124,30,4,34,22,160,118,8,112,196,132,80,56,132,160,98,8,34,118,22,104,186,192,98,3560,196
77,74,136,10,146,82,6,38,206,94,166,182,182,136,24,4,10,38,152,182,24,104,166,118,82,84,146,152,74,4,94,118,6,104,182,206,84,3616,206
78,58,188,6,152,50,12,20,192,70,204,188,174,152,22,12,20,50,152,136,70,100,192,108,96,112,152,136,58,22,174,108,6,100,112,204,96,3704,204
79,108,120,14,158,54,24,54,180,58,212,186,170,158,8,24,170,54,152,146,54,186,180,58,108,146,152,120,42,42,96,102,14,96,102,212,8,3768,212
80,88,146,22,160,56,54,102,158,14,210,184,160,160,12,54,128,56,90,158,160,102,174,14,128,174,146,96,48,48,96,90,22,88,184,210,12,3804,210
81,172,174,50,152,142,102,152,134,16,206,172,142,146,32,12,102,50,32,144,72,62,130,32,144,174,130,62,12,106,146,72,32,106,134,206,16,3768,206
82,78,166,34,182,80,154,208,120,34,170,172,142,140,44,46,106,44,14,154,140,120,58,78,166,182,106,34,14,142,170,58,34,80,172,208,46,3896,208
83,74,162,8,188,66,188,224,102,42,172,164,130,134,44,130,102,42,8,180,172,64,20,102,180,162,74,8,8,164,134,20,44,66,102,224,64,3768,224
84,158,140,62,206,60,218,206,60,50,172,158,114,128,46,62,46,16,46,178,132,114,46,132,178,140,12,36,16,82,172,12,50,36,128,218,82,3712,218
85,118,144,104,174,16,218,182,42,76,166,152,94,118,68,152,16,6,68,182,104,94,76,144,174,100,36,40,6,100,102,42,40,36,166,218,102,3676,218
86,94,146,142,142,56,206,154,18,56,160,138,72,112,138,112,14,14,94,162,154,36,110,146,162,50,50,38,18,160,116,72,38,36,110,206,116,3648,206
87,140,136,182,176,92,176,140,4,108,148,136,68,108,136,148,40,46,108,136,108,10,126,136,136,4,40,32,10,92,136,68,32,46,126,182,136,3648,182
88,114,158,200,136,136,158,124,6,124,144,124,58,100,144,124,50,48,114,142,50,48,138,128,112,26,100,58,6,128,138,54,26,54,112,200,142,3724,200
89,86,50,204,160,160,156,102,4,134,134,114,50,82,112,114,62,62,112,138,8,76,142,114,86,102,76,60,4,114,142,82,8,60,156,204,138,3608,204
90,108,18,172,172,192,138,78,12,68,116,104,84,56,84,18,68,92,108,78,12,92,132,94,46,138,92,104,56,132,138,116,46,92,94,192,138,3480,192
91,100,70,154,70,198,144,74,48,122,122,88,48,52,112,74,82,96,100,52,70,112,126,62,30,82,70,88,30,134,154,62,144,96,126,198,134,3524,198
92,110,114,134,10,192,130,46,46,110,110,84,66,36,134,66,92,92,92,2,102,124,110,10,2,92,102,84,36,124,128,130,114,112,112,192,128,3368,192
93,96,142,126,48,176,142,18,54,106,106,54,64,34,126,64,96,88,80,50,128,128,88,50,18,142,126,48,34,128,128,80,176,126,112,142,112,3436,176
94,96,180,102,92,156,130,14,74,66,100,44,74,30,156,30,102,96,66,96,142,130,56,130,14,102,92,100,44,130,142,102,180,134,134,56,96,3488,180
95,70,194,62,130,150,122,4,62,42,106,44,110,20,130,4,108,122,42,118,144,130,14,118,14,108,140,110,44,130,144,106,194,140,150,20,70,3416,194
96,6,196,62,164,148,120,22,32,2,96,42,126,2,164,22,114,126,32,142,144,124,62,142,34,148,114,96,42,142,144,120,196,142,124,6,34,3432,196
97,56,170,16,200,144,104,40,54,54,88,22,150,22,164,40,112,88,4,164,140,112,150,170,26,144,112,104,16,138,140,56,200,138,112,26,4,3480,200
98,102,150,14,200,96,70,58,70,114,48,36,156,14,130,58,106,96,48,178,130,90,178,150,32,114,106,58,58,102,130,156,200,130,90,32,36,3536,200
99,154,116,30,186,80,54,60,54,146,48,30,148,16,68,68,92,48,40,178,106,16,154,178,80,112,110,148,110,106,146,92,186,112,116,40,60,3488,186
100,200,92,4,146,74,50,44,54,190,62,54,180,8,146,104,66,8,66,166,74,50,190,146,62,100,180,74,146,74,166,104,200,100,92,44,4,3520,200
101,216,84,36,138,46,36,34,12,206,60,100,174,46,138,122,38,12,82,146,12,100,206,166,60,122,174,84,166,34,146,56,216,82,38,56,12,3456,216
102,214,12,32,122,40,32,70,40,202,70,118,174,40,130,130,6,40,174,118,34,64,202,178,40,82,118,118,178,82,40,122,214,64,12,34,6,3352,214
103,190,8,22,106,2,2,44,88,160,50,132,194,50,80,134,14,44,160,80,132,88,190,194,46,106,134,48,196,106,14,106,196,22,48,8,46,3240,196
104,168,8,24,44,24,2,46,116,112,66,138,220,44,70,138,16,46,168,16,138,116,190,130,66,70,112,72,190,130,70,138,220,8,70,2,72,3260,220
105,146,2,2,36,26,18,26,154,66,66,136,214,18,90,140,36,48,154,48,140,98,186,140,66,66,146,136,186,140,98,80,214,4,80,4,90,3300,214
106,126,8,4,14,26,18,8,192,26,74,144,200,4,144,130,74,56,130,126,146,114,192,168,26,18,92,56,168,146,114,100,200,26,92,14,100,3276,200
107,114,10,10,4,12,24,36,206,12,98,146,180,4,114,120,40,40,100,98,158,156,180,130,24,28,120,98,156,158,130,146,206,28,98,36,100,3320,206
108,80,20,12,52,12,26,52,204,56,96,158,146,22,20,98,26,26,26,106,140,158,176,146,80,56,138,98,138,176,140,124,204,96,106,22,124,3360,204
109,86,18,20,86,20,40,84,190,108,100,172,120,16,40,90,90,18,18,106,146,120,174,172,16,74,18,74,146,174,146,146,190,84,106,100,108,3416,190
110,64,26,10,42,64,36,110,146,112,112,202,82,10,10,74,138,10,42,110,160,106,158,146,36,106,26,82,138,160,158,110,202,74,110,112,112,3396,202
111,60,60,2,60,50,44,144,108,108,124,206,58,2,16,50,140,16,60,164,128,112,160,144,44,128,62,58,140,164,160,112,206,124,112,62,112,3500,206
112,20,34,2,80,54,54,180,66,164,140,206,56,20,26,34,112,56,80,140,142,98,180,112,26,142,98,2,128,164,140,140,206,128,112,66,112,3520,206
113,4,62,16,148,40,62,196,40,112,150,202,44,4,46,16,150,46,100,118,154,112,196,124,44,154,118,46,122,148,124,100,202,122,112,46,112,3592,202
114,2,60,60,78,64,64,204,2,106,158,176,38,22,54,22,106,112,130,134,164,130,176,158,38,164,134,78,112,140,94,94,204,140,106,54,106,3684,204
115,6,68,98,92,34,68,196,6,102,166,138,34,34,62,94,138,98,138,148,166,166,112,138,60,166,148,112,94,134,60,62,196,134,102,34,92,3696,196
116,32,68,128,128,78,68,164,36,112,202,112,18,32,66,66,144,78,144,164,166,136,2,156,92,156,166,136,78,92,36,2,202,82,82,18,78,3520,202
117,8,18,162,132,64,80,130,50,142,216,76,50,18,78,54,76,78,132,156,176,162,54,130,80,142,176,156,64,50,2,8,216,108,108,2,50,3404,216
118,42,8,198,134,28,120,82,46,138,226,46,28,40,64,44,170,82,138,176,198,112,112,64,72,134,170,176,72,28,40,44,226,120,42,8,28,3456,226
119,26,4,212,134,20,134,36,64,132,218,10,16,64,50,50,156,70,132,186,212,136,136,26,66,118,156,186,66,4,36,70,218,118,16,20,10,3308,218
120,52,52,214,88,24,152,4,74,148,186,12,12,74,36,36,182,108,108,158,186,152,158,74,2,78,148,182,50,2,78,88,214,74,4,24,50,3284,214
121,36,100,186,100,4,180,44,106,110,146,4,18,108,18,6,180,108,70,162,170,146,170,110,44,36,106,162,44,36,70,100,186,100,6,36,44,3252,186
122,30,134,142,118,8,208,34,98,148,102,8,16,118,12,30,178,134,54,134,142,120,178,134,74,16,98,148,46,46,74,120,208,102,12,34,54,3312,208
123,34,170,92,122,20,216,34,88,126,82,2,20,122,2,52,174,112,34,92,170,146,174,146,112,2,88,126,34,34,52,126,216,126,2,34,82,3264,216
124,2,184,50,124,58,216,74,58,132,72,2,4,124,26,66,184,152,4,72,162,132,152,162,132,18,74,116,18,26,50,132,216,116,26,26,66,3228,216
125,28,190,32,124,74,194,88,58,130,64,2,8,130,44,86,190,136,28,14,164,142,124,164,142,14,44,88,8,32,64,136,194,86,58,2,74,3156,194
126,56,194,2,98,100,148,80,52,148,32,2,2,110,22,80,100,110,2,52,152,158,98,158,152,32,20,82,22,20,56,126,194,126,90,82,90,3048,194
127,84,164,14,94,144,104,84,48,136,48,2,18,112,74,94,164,144,84,82,104,148,84,148,168,14,44,74,2,18,44,136,168,112,86,82,86,3212,168
128,104,138,6,72,172,68,102,64,112,40,6,16,110,68,98,132,172,98,112,2,138,72,132,172,28,28,64,2,16,40,136,172,110,102,136,104,3144,172
129,148,88,16,30,194,48,88,48,128,30,2,16,108,44,118,148,164,108,128,44,128,46,98,164,50,14,50,2,14,46,110,118,110,128,194,98,3068,194
130,180,54,42,22,202,44,102,54,154,36,2,8,102,90,112,136,180,130,136,72,44,12,78,154,36,8,42,2,12,22,90,78,112,130,202,72,2952,202
131,194,24,24,60,194,10,94,60,148,20,24,2,98,80,114,114,194,140,148,94,18,18,56,140,56,20,24,2,2,10,80,2,130,130,194,98,2816,194
132,204,20,38,94,172,6,122,88,156,20,22,4,88,26,120,68,172,120,156,120,52,94,24,122,52,24,22,6,4,38,68,26,120,122,204,122,2916,204
133,194,36,58,150,124,20,120,82,140,10,28,20,82,20,116,10,170,150,170,140,82,116,28,104,104,46,20,28,28,58,46,36,124,120,194,82,3056,194
134,164,84,48,200,94,40,110,74,156,2,22,48,74,22,110,22,164,158,158,156,112,112,42,98,98,54,2,40,54,84,22,42,118,118,200,94,3196,200
135,112,100,58,210,58,48,122,54,166,42,58,90,48,8,100,52,128,90,136,166,128,136,52,80,80,80,8,42,80,122,58,54,112,104,210,104,3296,210
136,66,96,52,218,16,38,124,76,156,16,26,154,38,26,94,76,160,162,124,162,160,154,100,78,102,78,8,102,100,156,8,52,66,96,218,94,3452,218
137,20,116,120,188,12,66,128,100,80,12,20,206,12,42,80,100,174,172,100,128,174,188,100,66,46,42,12,120,116,172,30,46,30,76,206,76,3376,206
138,34,144,56,156,24,34,140,58,24,32,2,222,8,58,72,110,156,170,84,122,168,168,122,32,84,72,2,144,140,170,34,34,8,56,222,110,3272,222
139,66,90,100,96,34,38,126,66,90,28,38,228,40,66,66,126,148,168,40,100,148,166,146,4,44,54,28,146,168,166,54,4,44,34,228,96,3284,228
140,80,132,64,40,56,70,120,66,136,24,76,226,26,66,56,132,136,172,26,80,120,182,136,24,68,40,70,182,172,136,68,4,64,4,226,76,3356,226
141,70,120,78,20,56,64,130,86,180,4,110,212,2,70,56,130,156,188,20,64,86,212,110,50,84,50,84,188,156,120,78,2,80,4,180,80,3380,212
142,86,124,100,68,50,54,94,54,200,14,156,198,20,68,50,124,198,156,10,54,58,188,142,54,58,14,100,188,142,88,86,10,94,20,200,88,3408,200
143,60,126,60,108,44,54,100,2,204,18,180,200,36,60,32,108,132,178,18,44,34,180,200,54,34,2,126,178,132,60,94,32,100,36,204,94,3324,204
144,92,150,54,110,68,46,102,42,182,10,198,198,54,70,32,92,70,144,32,6,10,182,198,68,24,46,144,150,110,24,104,6,102,42,198,104,3264,198
145,98,104,66,206,60,52,82,82,174,40,206,206,66,52,32,80,80,156,62,14,14,174,152,60,6,62,152,156,82,6,98,32,104,40,206,82,3344,206
146,98,204,58,142,58,48,96,130,142,60,208,204,82,48,28,58,28,130,82,12,52,172,134,58,18,86,172,134,52,12,98,18,96,60,208,86,3372,208
147,98,206,44,122,58,28,88,162,112,88,208,206,98,52,18,44,6,168,92,6,52,162,118,58,32,118,168,122,28,32,98,18,92,112,208,98,3420,208
148,96,120,66,122,42,24,106,190,102,122,200,196,120,42,10,28,24,162,196,12,102,200,130,66,54,130,162,96,12,28,106,10,92,54,190,92,3504,200
149,94,138,70,190,8,10,86,204,86,166,190,186,130,38,2,10,40,156,110,38,186,166,130,70,82,138,156,74,2,40,110,8,94,74,204,82,3568,204
150,180,136,74,146,32,2,20,194,74,200,190,180,150,32,2,86,50,150,190,50,102,194,112,86,112,146,136,58,12,86,102,12,86,58,200,20,3660,200
151,174,148,44,152,16,16,54,186,60,210,184,174,152,10,20,184,56,144,126,102,96,186,56,102,144,148,126,44,60,82,96,20,82,54,210,10,3728,210
152,166,144,46,162,28,48,104,162,24,210,184,166,152,24,62,104,62,102,152,118,184,170,10,118,170,144,102,46,48,82,82,28,72,72,210,10,3768,210
153,136,174,64,154,60,92,154,136,2,208,168,150,138,16,16,140,60,30,150,122,92,168,16,140,174,122,72,2,72,138,64,30,88,88,208,16,3660,208
154,144,146,52,180,46,146,208,120,20,172,170,144,136,34,52,136,62,26,168,172,170,62,76,168,180,102,52,20,120,102,34,26,52,76,208,46,3828,208
155,136,166,4,184,42,184,224,108,30,176,160,136,126,38,66,66,42,12,180,176,102,12,102,180,166,66,8,8,160,126,4,38,30,108,224,66,3656,224
156,82,144,54,200,22,200,220,88,40,168,152,122,120,42,54,88,22,42,178,136,122,40,136,178,144,8,10,8,120,168,34,34,10,152,220,82,3640,220
157,158,150,100,184,20,218,184,64,92,158,134,92,110,64,86,20,8,64,172,100,134,86,150,172,100,64,8,4,100,102,48,48,4,110,218,102,3628,218
158,150,170,140,140,56,208,170,46,86,150,128,86,102,128,102,12,46,90,160,144,40,118,144,160,54,54,12,2,118,116,56,40,2,90,208,116,3644,208
159,146,142,178,176,94,176,146,42,82,138,126,82,98,98,138,34,34,102,138,94,2,142,134,130,6,126,42,6,134,130,46,46,2,102,178,138,3628,178
160,106,144,196,140,140,158,132,40,34,134,120,56,98,134,98,50,44,108,142,50,44,144,124,106,56,132,40,18,124,158,120,34,18,108,196,142,3688,196
161,106,50,202,164,164,152,116,40,104,130,104,46,82,84,60,60,116,106,140,40,70,138,110,84,82,152,46,10,110,138,70,10,50,130,202,140,3608,202
162,146,16,174,174,192,146,80,6,76,116,86,76,56,80,56,60,116,96,60,6,94,128,88,38,90,94,86,16,128,146,96,38,90,88,192,146,3376,192
163,66,66,154,62,198,146,78,8,82,118,82,44,62,98,78,80,146,98,62,62,110,120,62,8,80,110,62,44,154,132,120,118,86,86,198,132,3412,198
164,140,106,140,10,194,140,48,6,94,94,68,68,36,110,68,86,96,92,48,96,122,110,10,6,92,106,68,36,122,140,108,128,108,86,194,128,3304,194
165,86,140,132,40,174,140,24,24,90,90,56,74,34,106,56,90,86,86,26,126,128,86,74,34,90,128,40,26,126,122,132,174,122,140,140,106,3348,174
166,116,176,116,88,156,128,14,14,44,86,42,72,34,132,42,96,86,64,86,138,132,44,128,72,96,156,86,34,138,130,88,176,130,92,64,92,3388,176
167,66,190,58,126,152,130,4,16,10,80,30,128,16,144,4,104,128,44,124,144,132,10,124,44,104,126,80,58,132,134,152,190,134,130,30,66,3344,190
168,4,190,68,158,148,112,24,30,24,82,30,146,6,142,4,112,112,36,150,142,124,68,150,36,148,158,82,36,124,134,112,190,134,146,6,36,3404,190
169,62,166,12,192,144,100,24,30,76,74,20,160,20,138,30,110,100,4,164,138,112,160,166,74,144,164,76,12,132,112,110,192,132,62,24,4,3440,192
170,106,150,6,198,106,72,72,28,124,46,30,168,46,106,62,106,62,30,178,132,90,178,150,52,90,132,106,52,124,106,124,198,124,168,28,6,3556,198
171,158,132,30,184,88,34,32,40,152,40,30,160,34,88,74,76,28,76,174,110,28,158,174,76,110,152,74,112,132,112,110,184,110,160,32,76,3540,184
172,204,90,14,148,78,50,68,2,198,68,46,186,50,82,112,58,2,78,160,82,46,198,148,58,112,160,46,148,78,148,186,204,78,90,46,14,3536,204
173,220,68,42,140,56,42,64,8,210,64,94,178,30,74,120,30,2,56,146,8,94,210,170,68,140,146,34,170,34,120,178,220,74,56,56,2,3424,220
