Interval,Processor0,Processor1,Processor2,Processor3,Processor4,Processor5,Processor6,Processor7,Processor8,Processor9,Processor10,Processor11,Processor12,Processor13,Processor14,Processor15,Processor16,Processor17,Processor18,Processor19,Processor20,Processor21,Processor22,Processor23,Processor24,Processor25,Processor26,Processor27,Processor28,Processor29,Processor30,Processor31,Processor32,Processor33,Processor34,Processor35,Processor36,Processor37,Processor38,Processor39,Processor40,Processor41,Processor42,Processor43,Processor44,Processor45,Processor46,Processor47,Processor48,Processor49,Processor50,Processor51,Processor52,Processor53,Processor54,Processor55,Processor56,Processor57,Processor58,Processor59,Processor60,Processor61,Processor62,Processor63,Processor64,Processor65,Processor66,Processor67,Processor68,Processor69,Processor70,Processor71,Processor72,Processor73,Processor74,Processor75,Processor76,Processor77,Processor78,Processor79,Processor80,Processor81,Processor82,Processor83,Processor84,Processor85,Processor86,Processor87,Processor88,Processor89,Processor90,Processor91,Processor92,Processor93,Processor94,Processor95,Processor96,Processor97,Processor98,Processor99,Processor100,Processor101,Processor102,Processor103,Processor104,Processor105,Processor106,Processor107,Processor108,Processor109,Processor110,Processor111,Processor112,Processor113,Processor114,Processor115,Processor116,Processor117,Processor118,Processor119,Processor120,Processor121,Processor122,Processor123,Processor124,Processor125,Processor126,Processor127,Processor128,Processor129,Processor130,Processor131,Processor132,Processor133,Processor134,Processor135,Processor136,Processor137,Processor138,Processor139,Processor140,Processor141,Processor142,Processor143,Total,Max
10,16,18,22,12,48,52,0,56,32,8,0,4,30,42,8,36,34,38,56,50,58,50,12,72,0,60,0,12,54,0,2,0,70,48,30,16,0,0,50,0,54,56,48,42,52,0,46,34,46,30,12,18,48,12,16,0,50,0,0,50,8,54,70,0,62,18,8,54,26,24,58,34,18,14,8,54,36,40,0,46,0,48,26,4,50,50,0,42,48,8,34,56,16,48,62,74,54,72,0,26,70,26,0,0,38,4,22,30,32,0,0,34,2,8,56,26,48,4,42,46,40,56,26,0,0,18,16,14,18,72,50,50,16,72,70,50,12,74,60,0,8,34,0,24,4328,74
11,0,30,18,0,44,42,52,40,42,10,0,24,20,48,0,52,36,56,56,68,56,0,30,64,0,0,0,8,70,38,6,34,62,42,24,14,56,52,46,18,54,56,48,36,0,42,44,34,44,0,10,18,46,8,10,28,52,0,66,52,18,58,62,42,64,12,14,0,0,18,58,0,12,14,0,58,54,30,8,44,52,52,0,6,52,46,14,48,18,0,44,66,30,52,74,56,64,62,28,24,58,8,20,4,34,2,0,34,0,18,18,38,2,8,24,46,0,4,44,48,40,56,0,0,14,10,20,8,0,64,56,42,14,68,70,52,24,74,62,0,20,0,24,0,4388,74
12,28,0,0,4,0,48,38,14,36,0,52,42,32,50,0,64,40,38,4,68,54,54,46,56,72,0,14,14,62,30,10,50,60,0,0,8,0,50,42,14,52,0,50,0,0,42,44,0,42,28,4,14,0,4,0,0,54,14,62,0,26,0,72,0,66,4,20,0,0,12,0,48,0,14,14,42,34,54,8,42,46,56,30,18,60,42,4,52,0,44,52,72,42,66,66,38,74,38,0,20,38,14,0,4,28,4,10,42,32,28,20,0,0,4,52,26,42,0,44,38,40,54,0,28,14,0,0,4,0,64,52,36,18,72,68,54,20,74,66,34,12,44,28,0,4088,74
13,16,26,26,18,38,0,54,36,18,10,0,56,30,0,10,68,32,42,26,58,0,60,60,0,68,0,10,14,0,20,12,54,0,28,8,2,54,48,0,8,50,54,48,24,40,42,44,32,38,26,0,16,0,4,0,0,48,34,66,44,38,54,56,0,58,10,0,0,42,4,50,56,28,20,10,48,36,50,4,40,52,42,0,24,56,0,0,58,14,48,66,60,54,70,42,34,66,16,4,12,0,24,10,0,24,8,0,44,30,0,28,18,0,8,48,48,26,0,48,50,0,44,42,28,10,10,26,2,38,60,58,32,24,68,70,52,32,68,66,42,16,42,24,18,4228,70
14,26,40,0,34,40,32,0,50,32,6,0,64,26,32,0,62,32,0,42,0,54,0,66,0,58,36,12,16,0,0,0,44,54,0,6,2,52,44,32,6,48,52,48,20,36,0,40,30,34,22,2,16,38,2,0,28,44,36,62,46,46,42,66,34,0,12,32,18,46,2,40,0,20,18,0,46,34,48,0,0,48,0,28,32,52,0,32,66,28,0,72,38,66,54,26,0,46,0,0,0,0,30,0,0,22,6,0,38,30,28,32,0,2,0,38,52,48,2,48,54,34,0,46,28,0,22,28,0,36,66,58,26,22,64,66,48,30,72,50,48,0,44,34,32,3980,72
15,28,38,20,46,40,42,52,62,34,0,8,60,40,0,0,0,24,0,56,54,60,8,62,44,52,30,0,0,0,10,22,0,52,0,2,2,52,0,22,2,48,50,46,18,36,0,40,28,32,22,2,16,38,4,44,0,44,0,62,32,54,46,68,10,52,22,34,36,54,2,32,62,8,0,16,44,50,50,2,6,54,44,0,42,0,0,46,68,40,64,60,24,68,32,0,0,24,34,22,0,8,36,4,10,20,0,6,46,0,0,36,32,2,6,46,50,42,2,52,48,34,0,50,28,10,32,0,6,0,68,64,22,28,62,62,42,24,60,56,50,18,0,30,44,4092,68
16,26,28,14,58,38,50,2,62,46,0,26,50,24,0,0,56,0,40,64,0,0,26,52,42,44,0,0,16,0,2,0,50,48,0,8,0,48,0,14,6,46,0,0,0,34,38,38,28,32,0,8,18,34,2,0,0,40,0,66,40,60,54,60,0,0,0,36,44,50,0,24,54,12,0,18,0,52,54,0,0,26,32,16,0,10,32,60,54,50,66,40,16,52,14,8,26,2,42,32,2,34,26,0,18,20,14,2,48,0,38,0,36,2,10,52,44,54,2,44,56,32,12,54,0,8,34,28,6,38,58,0,18,20,62,32,38,28,64,60,50,16,48,0,0,3668,66
17,14,0,4,62,0,0,0,0,36,0,40,0,0,0,60,56,36,0,58,46,62,0,48,38,0,22,0,16,34,6,32,0,0,6,18,0,0,0,6,8,44,0,32,0,30,36,34,28,26,0,0,18,30,20,0,0,36,0,60,0,0,56,58,18,14,6,36,50,0,0,14,0,18,28,0,0,0,50,0,36,38,0,0,62,32,0,70,34,62,52,0,0,32,6,2,20,26,36,32,0,0,56,0,22,16,14,2,46,0,36,0,44,2,0,40,32,0,2,34,48,0,4,56,32,6,36,0,8,32,60,62,0,34,70,30,36,30,62,52,0,0,0,34,60,3088,70
18,24,34,16,54,0,50,36,48,0,26,56,48,0,26,66,0,42,26,0,0,64,0,46,0,16,24,0,24,24,0,40,0,38,4,0,4,44,24,6,14,42,42,40,26,26,30,0,26,20,14,2,24,26,2,18,0,28,16,44,38,48,40,32,26,32,4,34,54,54,0,0,22,0,28,14,30,24,24,0,40,30,14,44,68,0,58,58,20,64,32,16,2,0,26,0,14,26,48,0,14,36,54,24,28,0,30,0,32,24,44,42,48,14,20,0,26,58,6,48,36,18,14,50,30,4,22,26,28,34,56,58,30,16,66,26,34,20,68,16,36,26,46,2,0,3724,68
19,20,36,34,52,46,38,48,0,46,16,64,44,44,16,58,56,0,0,48,38,60,64,42,34,8,16,0,24,22,8,40,0,38,4,24,0,44,22,0,0,0,40,24,18,0,34,28,26,22,14,12,20,28,0,16,22,0,0,58,38,44,56,48,36,46,10,34,60,46,0,16,4,18,28,0,22,34,0,0,46,10,46,56,58,0,66,38,0,56,12,0,2,22,28,0,0,34,52,20,0,46,0,10,0,14,24,0,34,24,0,38,56,10,14,56,48,0,8,44,34,24,20,46,0,2,42,0,20,0,66,58,16,34,64,14,28,28,64,8,34,26,44,20,0,3720,66
20,0,0,44,46,40,36,60,36,0,14,58,38,0,32,56,0,38,54,46,0,14,62,0,0,0,16,2,20,14,26,42,56,34,8,28,0,44,18,8,8,40,42,0,20,26,0,24,26,20,12,0,22,24,16,36,14,0,38,62,34,40,54,0,40,0,16,28,58,42,0,0,14,16,20,2,4,16,32,38,0,28,0,70,42,56,54,0,8,40,12,8,2,40,0,24,14,46,58,32,22,0,0,22,16,14,24,18,40,0,38,0,0,8,14,54,0,56,4,46,32,22,0,36,38,2,40,0,0,28,58,44,16,0,70,26,0,32,60,16,32,0,44,0,0,3380,70
21,28,0,56,44,44,10,60,28,28,32,50,0,22,46,58,54,0,64,42,34,20,50,0,28,18,0,4,18,10,14,42,50,0,0,0,2,40,0,10,14,40,38,0,0,28,32,24,28,18,10,0,24,22,0,42,0,16,34,56,18,0,0,62,42,0,0,22,50,0,0,20,44,14,0,6,20,10,0,44,0,42,0,64,28,62,34,4,2,0,24,0,0,40,0,22,0,58,0,0,24,0,44,24,28,12,28,20,36,24,20,34,54,12,16,46,42,50,10,44,32,18,22,28,44,6,28,14,36,38,64,50,18,40,64,32,20,0,60,22,0,28,40,40,44,3520,64
22,26,28,64,40,0,22,46,14,38,44,0,0,0,60,0,54,8,58,42,32,36,44,36,0,0,8,12,6,4,22,34,0,28,16,24,2,0,6,0,0,40,36,24,28,28,34,26,0,14,0,16,28,22,36,0,4,16,0,58,0,24,64,44,0,60,34,12,38,20,14,0,46,16,12,0,38,28,50,0,64,46,68,44,16,0,14,14,14,4,36,8,0,0,26,28,4,44,60,40,24,0,36,28,28,10,24,8,38,24,42,34,54,0,12,0,46,44,10,50,0,16,0,0,0,14,22,2,0,20,68,46,0,32,64,36,0,0,60,26,14,28,40,46,36,3376,68
23,30,10,58,36,38,38,40,0,0,58,46,0,6,64,0,54,28,48,40,28,48,40,0,22,0,10,0,16,12,0,40,34,22,16,32,2,36,2,10,30,40,34,28,32,26,0,24,30,0,4,22,30,16,40,0,4,14,0,58,14,14,56,0,0,0,36,6,0,38,0,0,60,4,38,0,0,42,50,68,52,0,60,26,0,50,16,14,14,22,32,0,18,58,36,30,4,38,48,0,24,0,0,26,24,10,30,10,28,22,42,36,46,0,14,52,50,50,10,54,40,0,36,12,58,6,0,22,0,40,58,48,32,38,64,0,18,28,68,0,6,28,26,56,24,3576,68
24,28,30,50,28,46,52,34,2,0,66,0,28,22,54,54,52,46,46,38,0,60,32,28,0,0,8,4,34,14,32,48,0,20,10,32,6,34,2,4,38,38,32,30,0,28,28,24,32,14,8,18,32,16,0,0,14,14,42,52,0,6,62,50,56,0,38,6,4,56,10,0,64,0,0,46,62,48,58,70,30,64,42,4,0,0,32,16,0,36,0,14,0,56,38,28,0,56,56,0,28,46,52,24,28,0,28,20,54,24,38,34,0,14,0,0,52,46,0,22,30,18,38,0,0,0,30,34,52,34,60,54,36,32,66,58,0,38,70,0,6,30,24,56,0,3888,70
25,0,46,46,20,46,66,0,0,16,56,40,26,40,52,52,52,60,42,32,26,62,22,26,14,34,0,4,46,22,34,40,16,14,10,28,10,32,2,4,46,40,0,0,40,28,28,26,32,10,14,0,34,0,0,0,22,0,40,56,34,8,60,52,0,48,34,0,26,68,26,0,68,38,0,0,70,50,68,0,0,0,0,16,10,8,34,22,0,46,48,14,20,0,0,32,2,0,0,0,26,46,52,26,32,8,26,22,30,22,26,38,52,8,0,0,50,0,0,52,0,14,40,2,0,10,46,42,52,16,68,62,0,40,66,0,0,32,70,30,14,28,10,0,2,3616,70
26,28,62,44,10,0,60,6,10,34,48,30,24,56,54,50,50,68,0,30,22,54,10,22,14,38,8,20,56,28,28,0,36,18,0,24,24,28,2,4,48,36,30,36,0,24,26,28,0,0,10,10,36,10,44,0,28,10,48,56,40,20,56,46,48,40,30,0,50,64,38,0,64,48,0,68,56,0,64,0,4,0,4,24,10,24,0,36,22,42,40,14,18,64,44,36,4,0,0,36,30,56,34,30,26,10,24,22,0,24,48,40,0,4,0,0,54,42,4,0,50,0,48,2,44,6,48,0,0,36,62,60,0,30,68,54,24,30,68,0,10,24,0,46,8,3900,68
27,0,66,42,24,34,50,12,14,54,44,18,24,68,50,44,46,54,0,0,0,44,8,20,0,32,18,34,66,38,0,0,48,4,0,28,38,24,0,0,50,34,0,40,38,0,24,32,34,0,8,0,30,12,0,18,24,14,34,50,40,6,0,0,38,0,24,2,36,0,48,0,54,0,60,68,32,0,44,6,18,36,24,34,20,0,48,34,24,46,40,14,24,66,44,40,4,48,54,50,14,0,34,24,14,2,32,24,32,18,0,44,44,14,18,60,44,0,14,38,36,8,46,8,32,12,44,0,46,42,66,0,0,38,68,50,28,24,68,0,14,30,36,44,12,3836,68
28,28,58,34,4,54,44,0,10,68,36,0,28,62,50,46,42,50,0,24,24,42,20,24,12,0,14,0,68,38,18,2,58,12,0,20,48,22,0,16,0,34,30,42,52,24,28,32,38,8,0,12,38,16,0,24,40,10,0,48,50,0,62,40,0,20,16,4,58,0,56,20,54,0,0,0,0,0,0,8,24,18,28,28,16,0,0,38,24,50,44,12,0,0,40,0,10,50,58,26,24,0,38,32,28,4,30,16,46,20,42,42,42,0,14,0,52,0,40,34,50,20,0,2,28,4,28,0,38,34,68,68,50,36,0,56,28,28,50,26,10,16,0,0,22,3572,68
29,50,52,30,0,70,38,0,8,60,30,10,26,54,48,44,0,46,0,20,22,34,26,20,0,48,16,48,52,0,18,24,66,8,22,4,58,0,6,26,52,34,32,44,0,22,28,34,46,4,4,10,44,14,0,0,0,10,52,0,48,36,60,62,18,0,12,8,64,50,60,0,60,64,62,26,20,0,10,16,30,6,32,32,12,50,52,22,14,0,50,10,20,66,46,20,10,52,60,44,26,56,46,34,28,4,30,20,44,20,26,34,0,60,0,58,44,66,0,0,48,20,38,0,26,8,48,52,0,34,66,70,52,0,0,54,36,24,26,22,0,0,56,32,22,4148,70
30,74,50,30,18,60,28,14,8,52,28,2,30,56,44,42,38,38,14,16,18,26,18,0,6,40,0,54,34,22,0,38,54,4,0,20,64,0,0,38,60,34,34,46,52,24,32,38,46,2,2,0,44,16,0,0,48,8,48,40,0,42,74,48,8,2,6,14,58,44,58,10,60,74,40,4,34,0,28,16,30,32,34,20,16,54,54,38,18,52,0,8,20,64,46,30,8,56,58,46,28,60,34,24,20,2,26,10,38,0,38,38,44,0,22,0,0,0,0,48,6,18,44,8,20,6,50,52,18,38,0,74,48,44,0,48,40,0,2,0,14,20,58,0,0,3996,74
31,72,46,26,0,54,0,16,0,48,26,4,30,50,0,40,36,32,0,0,12,16,0,24,2,60,24,64,24,44,18,48,34,6,0,34,58,22,0,48,0,36,36,50,60,24,34,40,48,4,2,0,46,14,38,6,52,6,0,46,40,26,66,0,8,0,0,20,64,44,0,22,68,66,16,20,40,18,22,26,34,50,36,34,16,60,54,30,14,44,48,12,8,58,34,20,8,48,56,40,24,46,46,22,24,6,14,20,50,44,36,18,48,0,46,36,40,60,68,0,26,20,48,6,18,6,0,52,0,32,0,0,0,24,72,46,46,26,14,8,0,38,56,20,24,4060,72
32,64,42,22,0,50,12,0,12,44,26,6,28,50,36,0,34,24,2,0,8,6,26,22,0,48,32,64,14,0,0,58,0,4,2,42,42,22,0,0,58,36,0,52,0,24,32,42,0,6,6,12,50,0,52,4,52,6,0,0,36,0,62,64,0,0,4,26,54,38,48,32,0,46,8,24,32,6,50,28,34,42,36,44,16,54,62,36,22,50,42,14,12,58,54,32,12,52,60,32,24,58,50,22,22,8,26,14,42,62,12,38,0,60,0,0,52,54,62,0,54,22,42,6,14,6,0,46,4,26,64,0,0,0,0,36,52,8,26,2,2,54,0,16,22,3704,64
33,60,36,0,0,44,4,0,8,42,24,0,0,48,32,34,34,14,0,6,0,4,32,18,0,54,38,52,0,38,18,62,16,0,20,52,28,24,24,50,44,36,38,54,62,0,36,44,0,0,10,16,0,14,60,12,50,4,60,18,0,38,70,62,0,0,0,32,0,34,48,42,0,0,14,34,42,24,44,36,42,60,32,44,18,62,46,34,22,52,48,0,12,60,0,32,0,44,52,36,24,58,52,20,18,18,24,14,44,70,0,36,28,60,0,46,10,52,60,60,0,22,0,6,0,0,50,50,0,0,0,0,0,34,0,48,58,0,32,4,20,0,44,8,20,3780,70
34,56,0,14,12,38,0,20,0,0,0,8,32,44,22,32,34,0,0,0,6,14,36,16,4,38,46,38,6,0,30,54,0,10,32,62,16,28,0,54,28,38,0,52,50,24,36,46,0,0,12,22,0,14,56,14,44,4,46,32,20,56,0,60,0,0,0,36,64,30,46,48,0,0,28,34,38,32,0,34,18,44,48,38,22,62,54,36,22,48,58,10,16,62,28,30,12,44,54,30,20,50,24,24,16,0,0,14,44,0,44,12,36,56,62,0,24,48,58,0,0,0,46,6,8,0,52,0,0,38,0,0,20,32,0,46,60,18,36,0,34,64,38,6,14,3632,64
35,50,0,0,10,0,10,28,0,34,20,8,32,42,14,30,36,2,14,8,0,0,40,14,2,26,54,26,0,0,38,40,38,10,42,60,12,30,36,64,16,38,42,54,40,26,38,48,0,10,12,30,0,14,22,20,40,2,0,32,12,38,0,60,54,44,12,36,60,28,42,0,0,8,34,26,60,36,36,36,42,58,42,36,12,0,54,30,20,54,44,14,14,48,54,30,10,40,58,30,16,40,50,22,20,0,10,12,42,60,0,22,50,54,60,0,48,44,54,50,58,22,42,0,0,2,48,40,0,38,64,0,0,30,0,54,54,36,40,8,44,58,30,0,0,3988,64
36,46,34,24,22,0,8,22,0,24,0,0,28,34,4,32,40,0,30,22,0,38,48,10,12,4,62,12,0,26,46,24,30,0,44,48,2,30,34,64,0,38,42,60,30,22,0,44,54,12,14,24,52,18,4,20,34,14,32,12,0,34,62,0,50,16,8,36,46,16,38,58,50,2,24,44,52,40,60,42,44,56,34,36,20,64,46,34,22,48,54,14,16,60,44,32,8,44,58,38,34,24,56,18,28,68,12,12,46,60,0,46,24,48,56,56,0,34,0,44,54,16,0,14,4,10,0,0,24,0,0,0,8,34,68,54,44,50,0,22,50,0,0,26,32,4056,68
37,42,10,0,0,0,14,0,0,24,16,10,0,32,0,0,44,0,26,0,12,48,60,0,0,20,60,8,0,0,58,0,56,18,50,32,0,32,44,56,8,40,46,66,0,26,40,50,42,10,0,38,0,18,0,30,26,2,0,24,0,32,68,36,38,50,0,32,14,0,42,52,20,10,26,48,56,32,50,42,30,58,44,38,24,64,52,34,18,50,48,16,12,60,44,32,6,52,56,0,32,0,46,18,26,68,38,2,42,60,64,0,14,50,56,52,68,34,48,0,48,20,40,8,0,6,0,42,20,40,66,0,0,0,68,0,0,0,36,24,56,48,14,8,26,3912,68
38,36,4,0,0,14,20,34,0,16,8,6,30,28,0,0,46,0,28,0,0,50,58,0,0,36,52,0,16,14,58,0,36,20,58,0,0,34,48,0,12,0,50,0,22,28,40,60,38,12,16,0,0,16,30,32,16,2,0,36,0,0,0,42,0,0,14,30,2,12,38,48,0,16,46,48,58,38,0,32,0,60,30,32,22,0,52,36,20,60,50,16,14,60,36,34,6,48,58,38,30,0,38,16,28,0,62,0,46,58,60,0,36,50,0,48,60,28,46,34,38,20,0,12,4,8,0,48,28,40,0,0,2,12,0,62,30,0,32,0,0,42,2,12,36,3324,62
39,32,4,8,18,8,22,34,2,0,6,4,30,24,18,0,48,6,30,0,14,46,50,0,0,44,42,6,30,0,52,0,56,28,60,2,0,38,54,30,18,42,50,52,20,30,42,66,36,14,20,52,0,18,28,36,4,2,50,0,48,44,60,24,32,60,14,28,14,6,34,46,30,20,36,56,52,30,0,42,44,60,42,48,24,60,52,36,20,54,56,16,18,64,34,34,4,42,52,28,30,60,6,22,14,56,72,0,38,56,60,0,60,48,56,48,50,22,44,30,0,18,48,14,8,6,30,42,0,0,66,72,2,0,60,0,22,60,24,34,64,34,8,16,42,4332,72
40,26,0,8,24,8,22,32,0,0,0,0,0,18,24,22,48,16,0,26,16,56,60,10,0,54,32,4,24,40,42,42,54,32,56,18,14,42,64,18,26,44,54,40,16,0,0,62,32,12,26,56,24,18,0,38,10,2,0,0,44,48,68,46,16,42,20,24,22,4,34,44,0,18,54,0,56,56,52,44,44,56,48,38,24,64,40,42,24,58,38,16,18,62,32,18,4,4,54,22,34,68,0,0,22,56,66,64,0,56,60,58,0,46,54,44,44,16,42,24,18,0,44,0,8,8,40,0,18,32,66,0,2,0,54,64,14,54,18,38,52,20,12,22,48,4196,68
41,22,12,0,30,2,20,36,6,6,0,0,0,16,0,0,50,18,0,20,18,52,32,12,2,62,0,0,0,48,26,48,58,42,46,10,14,48,64,12,0,0,62,28,0,32,0,50,26,16,34,56,20,0,10,40,0,2,56,60,0,40,64,0,2,48,0,0,32,0,0,42,50,18,32,0,48,0,50,26,42,0,52,42,26,64,50,40,22,56,40,16,12,62,54,30,2,32,54,42,34,64,0,10,32,0,58,72,0,54,60,56,0,42,52,36,0,0,40,20,2,18,50,12,0,6,0,46,0,0,62,72,6,48,28,0,12,52,10,0,40,14,16,0,54,3692,72
